d1,d2,lat,lon,delta1,delta2,CNN1,CNN2

8.949482,13.948733,53.339911,-6.260906,10.012552,14.034560,0.963295,0.765876
8.238177,14.296741,53.339940,-6.260295,8.537314,13.961319,0.989847,0.688500
4.696902,12.359701,53.339909,-6.260882,4.762194,14.034560,0.935859,0.765876
18.283461,10.017691,53.340057,-6.258676,15.493623,8.498224,0.984585,0.759581
21.391315,10.109740,53.340045,-6.258429,20.216270,5.147891,0.940845,0.945676
21.314221,20.870957,53.340044,-6.258429,20.216270,19.316711,0.940845,0.918856
8.957443,12.771927,53.339937,-6.260317,8.053848,13.961319,0.848523,0.688500
12.996629,8.174391,53.339910,-6.260892,14.034560,7.114285,0.765876,0.996131
15.598335,25.517814,53.339841,-6.251655,11.849374,14.145151,0.999321,0.925961
4.058547,9.408313,53.339903,-6.256656,4.642977,11.794969,0.820081,0.898916
17.773215,10.768212,53.339887,-6.260901,16.473386,7.114285,0.992178,0.996131
9.687055,6.443591,53.340054,-6.258674,8.498224,9.396149,0.759581,0.890961
13.948919,20.451213,53.340047,-6.258433,11.038359,19.316711,0.704296,0.918856
19.442657,12.401977,53.340087,-6.251540,21.322258,10.638622,0.791752,0.587451
9.802370,13.782375,53.339934,-6.247595,6.404584,13.490005,0.823042,0.808638
15.356684,6.808679,53.340168,-6.256491,15.989174,7.808929,0.916120,0.894629
8.092230,16.200013,53.340052,-6.258699,9.396149,16.230501,0.890961,0.500000
9.994188,20.766246,53.340045,-6.258430,5.147891,19.316711,0.945676,0.918856
16.948239,11.343601,53.340195,-6.258703,16.812744,11.809232,0.747663,0.976974
17.086947,17.902263,53.340196,-6.258704,16.812744,18.999724,0.747663,0.917345
14.337263,6.482730,53.340234,-6.247958,13.889956,4.060050,0.837112,0.846641
14.220591,13.939663,53.340233,-6.247957,13.889956,18.018002,0.837112,0.928385
6.372888,7.685362,53.340161,-6.256485,4.116224,7.808929,0.980616,0.894629
8.578020,5.922589,53.340213,-6.258446,9.681298,5.836065,0.669579,0.989736
11.026305,10.582115,53.340233,-6.255880,13.408893,12.819554,0.966551,0.779536
4.557166,16.563571,53.340204,-6.258690,6.450570,18.999724,0.984335,0.917345
19.962091,9.854617,53.340370,-6.258620,20.433651,6.384218,0.774211,0.852271
14.906370,8.720630,53.340213,-6.258404,14.068023,5.836065,0.962941,0.989736
16.789344,16.105032,53.340073,-6.258468,19.316711,15.411346,0.918856,0.879418
14.619850,6.741753,53.340069,-6.251528,10.638622,6.267009,0.587451,0.774151
6.353006,13.772543,53.340233,-6.247960,4.060050,18.018002,0.846641,0.928385
16.176948,7.150173,53.340353,-6.258591,17.949532,6.384218,0.914081,0.852271
11.576954,18.130268,53.340194,-6.258707,11.809232,18.999724,0.976974,0.917345
19.130025,7.875772,53.340358,-6.258598,17.673685,6.384218,0.973163,0.852271
10.366507,21.433536,53.340139,-6.256468,7.808929,20.281225,0.894629,0.992167
13.517806,4.658888,53.340338,-6.256469,14.456428,5.082242,0.863998,0.950636
14.582798,11.676958,53.340293,-6.251317,14.752368,8.723165,0.946494,0.969145
14.591276,16.532466,53.340293,-6.251317,14.752368,14.243694,0.946494,0.884474
17.105689,16.304388,53.340415,-6.248447,15.582509,16.607386,0.971182,0.975983
18.928689,17.364704,53.340284,-6.248582,22.229249,17.397186,0.904754,0.947439
13.645499,19.557659,53.340314,-6.262507,12.680848,15.814252,0.794128,0.795543
9.082113,15.390660,53.340415,-6.248461,8.986324,16.607386,0.625836,0.975983
11.690365,16.541976,53.340293,-6.251317,8.723165,14.243694,0.969145,0.884474
8.047764,14.409500,53.340449,-6.256980,7.349709,14.405307,0.764415,0.850485
5.104416,13.447389,53.340448,-6.256994,5.566036,14.405307,0.979649,0.850485
20.327465,6.250780,53.340601,-6.263553,19.540203,5.941586,0.500000,0.747315
19.440459,15.267538,53.340465,-6.263279,18.801822,17.329047,0.901554,0.882817
10.941993,8.814314,53.340464,-6.255363,13.980055,11.853430,0.755075,0.831492
16.510905,14.792879,53.340571,-6.262783,17.174064,15.293072,0.956388,0.919770
15.452742,5.755749,53.340506,-6.262924,14.766561,4.632659,0.731706,0.829857
6.426633,6.608170,53.340508,-6.262912,6.479402,4.632659,0.962018,0.829857
4.624972,6.996942,53.340486,-6.262913,5.649205,6.775131,0.970728,0.983906
